sk_recompra,sk_cliente,sk_tempo,sk_veiculo_novo,sk_concessionaria,vlr_veiculo,canal_venda,financiado
620,1727,375,78,21,180265.02,Digital,True
621,2314,689,68,24,300135.93,Indicação,False
622,1273,620,46,19,118933.12,Digital,False
623,3395,485,79,5,178591.6,Showroom,True
624,2808,459,43,1,257059.14,Indicação,False
625,1768,492,71,13,320480.95,Showroom,True
626,1396,697,18,15,173753.3,Showroom,False
627,2063,675,32,25,240184.18,Frota,True
628,307,371,29,10,230841.82,Showroom,True
629,2793,622,41,5,76378.58,Showroom,False
630,1857,602,25,14,142027.51,Showroom,False
631,488,612,61,3,165392.11,Indicação,True
632,3283,436,58,8,113968.03,Indicação,False
633,2645,443,21,9,131637.22,Frota,True
634,2442,730,80,10,166736.17,Indicação,False
635,1973,427,3,25,327800.47,Digital,True
636,1862,548,67,12,211140.05,Frota,False
637,2468,538,31,19,141140.09,Showroom,True
638,2228,625,72,4,327502.5,Indicação,True
639,174,497,59,18,318406.26,Digital,True
640,1507,668,75,8,314639.08,Frota,True
641,2876,560,72,24,307514.73,Digital,True
642,885,473,59,14,111618.16,Showroom,False
643,186,584,48,21,82631.99,Showroom,True
644,1071,621,53,9,239684.51,Showroom,True
645,956,665,64,23,109119.77,Showroom,True
646,102,477,76,2,110640.04,Frota,True
647,108,611,1,25,231543.85,Showroom,True
648,1097,720,33,17,324049.4,Indicação,True
649,428,730,48,10,262022.11,Indicação,True
650,3098,549,34,4,140087.89,Digital,True
651,441,421,14,13,209283.72,Showroom,True
652,2342,615,56,17,268105.12,Indicação,True
653,2612,388,33,1,139873.7,Frota,False
654,3812,681,46,25,270333.95,Showroom,True
655,1798,649,27,4,225920.89,Showroom,True
656,2499,432,73,5,194144.13,Showroom,True
657,1401,474,4,5,235737.66,Showroom,False
658,2171,541,64,18,340677.13,Showroom,True
659,103,680,31,2,266231.9,Frota,False
660,1644,685,36,6,305867.09,Indicação,False
661,1334,565,45,19,120544.46,Digital,True
662,614,552,81,25,134973.61,Indicação,True
663,1706,678,3,2,69728.72,Digital,False
664,1847,689,71,24,88876.82,Showroom,True
665,1119,419,75,24,198663.63,Frota,False
666,3748,563,45,2,190112.16,Digital,True
667,2024,728,80,23,198223.81,Frota,True
668,1571,586,83,6,323024.82,Showroom,True
669,202,669,35,5,287462.52,Showroom,True
670,3902,432,11,25,348331.88,Showroom,False
671,2725,527,77,2,123858.8,Digital,False
672,3729,681,6,4,126885.39,Showroom,True
673,491,641,35,21,84604.63,Digital,False
674,2969,625,37,24,325893.23,Showroom,True
675,3480,529,28,23,259158.45,Showroom,True
676,1551,491,84,5,182628.47,Indicação,True
677,1782,611,64,8,143263.06,Showroom,True
678,2903,388,26,11,148217.82,Showroom,False
679,1864,497,26,16,205888.0,Indicação,True
680,538,541,47,10,254338.93,Indicação,True
681,142,618,3,13,228179.72,Digital,True
682,316,551,82,10,165086.5,Frota,False
683,1941,668,44,20,189484.78,Showroom,True
684,89,399,16,9,292025.35,Digital,False
685,3968,522,80,21,235366.0,Digital,True
686,3488,371,1,13,65650.25,Showroom,False
687,3218,384,22,5,170552.33,Indicação,True
688,3635,541,50,14,140804.89,Showroom,True
689,2859,576,3,7,107303.28,Digital,True
690,131,600,63,1,156187.47,Showroom,True
691,2899,578,82,10,255543.11,Digital,True
692,484,436,80,23,171886.49,Indicação,True
693,3225,595,68,5,146833.51,Digital,True
694,2985,642,35,22,134222.76,Digital,False
695,1820,640,70,3,305178.5,Showroom,False
696,523,526,17,17,80410.78,Indicação,True
697,1143,594,32,25,151956.17,Digital,True
698,346,530,13,8,73383.3,Showroom,False
699,166,533,53,5,179018.21,Indicação,True
700,3476,388,68,8,331830.21,Showroom,True
701,2904,684,28,23,241289.41,Showroom,False
702,2098,505,34,2,235993.79,Digital,False
703,1424,439,62,19,137431.21,Showroom,False
704,1699,648,38,20,162365.67,Indicação,True
705,848,709,25,2,324907.19,Digital,False
706,196,390,42,1,189220.51,Showroom,True
707,1804,444,51,4,178963.86,Digital,True
708,415,544,78,8,101728.52,Showroom,False
709,3352,460,64,16,333698.06,Indicação,False
710,1060,621,59,11,198422.49,Indicação,False
711,1677,479,50,21,66842.11,Showroom,True
712,2219,631,62,5,261841.32,Frota,False
713,726,634,12,5,232297.01,Showroom,True
714,3774,576,14,8,320876.23,Digital,True
715,2138,537,60,25,258827.06,Showroom,True
716,235,728,80,13,144693.17,Digital,True
