sk_os,id_os,sk_tempo,sk_concessionaria,sk_veiculo,sk_servico,sk_cliente,vlr_mao_obra,vlr_pecas_sellout,vlr_pecas_sellin,vlr_total_os,margem_bruta_pecas,tempo_atendimento_h,csat,retornou_30d,status_os
4868,OS004868,127,9,35,3,1041,175.48,199.85,114.82,375.33,85.03,5,5,False,Concluída
4869,OS004869,675,14,11,9,1809,2449.55,1892.26,1229.69,4341.81,662.57,8,4,False,Concluída
4870,OS004870,183,22,71,12,1798,302.86,215.58,127.94,518.44,87.64,7,5,False,Concluída
4871,OS004871,182,24,17,9,2227,1295.93,702.35,395.62,1998.28,306.73,8,4,False,Concluída
4872,OS004872,605,10,55,1,1584,602.59,623.54,362.61,1226.13,260.93,1,4,False,Concluída
4873,OS004873,76,24,82,4,387,406.01,451.51,297.89,857.52,153.62,4,5,False,Concluída
4874,OS004874,164,1,26,11,3084,184.48,88.5,56.7,272.98,31.8,1,5,False,Concluída
4875,OS004875,369,24,47,11,3894,157.09,101.23,64.73,258.32,36.5,2,4,False,Concluída
4876,OS004876,617,22,26,3,2048,148.75,85.1,53.68,233.85,31.42,3,1,False,Concluída
4877,OS004877,104,20,57,4,3636,518.46,393.47,260.07,911.93,133.4,1,5,False,Concluída
4878,OS004878,405,3,81,2,3746,241.45,125.83,69.96,367.28,55.87,6,4,False,Concluída
4879,OS004879,520,16,74,6,1089,2904.47,1711.19,1201.01,4615.66,510.18,7,3,False,Concluída
4880,OS004880,638,5,79,6,3315,2747.89,1253.21,766.05,4001.1,487.16,7,4,False,Concluída
4881,OS004881,686,13,48,7,3973,0.0,0.0,0.0,0.0,0.0,1,4,False,Concluída
4882,OS004882,581,5,26,6,1094,1715.2,1338.95,807.67,3054.15,531.28,1,4,False,Concluída
4883,OS004883,474,23,41,8,1807,324.51,192.99,117.09,517.5,75.9,1,2,False,Concluída
4884,OS004884,319,25,28,4,3902,310.4,238.73,156.27,549.13,82.46,2,4,False,Concluída
4885,OS004885,80,11,19,2,1332,144.64,147.96,97.84,292.6,50.12,3,5,False,Concluída
4886,OS004886,519,17,1,10,917,232.05,113.08,72.59,345.13,40.49,7,5,False,Concluída
4887,OS004887,726,25,34,7,2368,0.0,0.0,0.0,0.0,0.0,8,5,False,Concluída
4888,OS004888,541,3,41,1,3440,615.38,568.65,360.67,1184.03,207.98,3,3,False,Concluída
4889,OS004889,15,22,82,1,3362,385.99,402.75,238.9,788.74,163.85,5,4,False,Concluída
4890,OS004890,363,6,65,11,822,298.7,308.82,222.29,607.52,86.53,2,5,False,Concluída
4891,OS004891,447,16,74,5,457,855.58,716.74,515.18,1572.32,201.56,2,2,False,Concluída
4892,OS004892,503,20,4,5,3080,779.17,315.59,187.35,1094.76,128.24,4,4,False,Concluída
4893,OS004893,527,2,14,5,484,725.65,861.06,494.76,1586.71,366.3,4,5,False,Concluída
4894,OS004894,412,5,63,3,3717,155.96,98.96,67.66,254.92,31.3,3,5,False,Concluída
4895,OS004895,165,19,21,6,3418,1295.9,667.88,440.9,1963.78,226.98,1,4,False,Concluída
4896,OS004896,690,20,64,2,3785,138.73,75.59,53.29,214.32,22.3,5,3,False,Concluída
4897,OS004897,508,22,26,10,1301,351.07,180.29,121.61,531.36,58.68,1,5,False,Concluída
4898,OS004898,176,11,69,8,3947,958.34,617.24,425.87,1575.58,191.37,8,5,False,Concluída
4899,OS004899,246,23,79,8,3927,1348.29,944.7,523.22,2292.99,421.48,3,4,False,Concluída
4900,OS004900,678,18,24,5,599,736.53,663.18,400.35,1399.71,262.83,4,4,False,Concluída
4901,OS004901,656,3,10,6,3320,3291.96,2555.42,1439.76,5847.38,1115.66,8,2,False,Concluída
4902,OS004902,302,12,81,2,1372,198.35,126.96,81.85,325.31,45.11,3,5,False,Concluída
4903,OS004903,34,23,32,5,2631,616.28,416.58,278.13,1032.86,138.45,6,5,False,Concluída
4904,OS004904,40,13,73,8,3554,345.53,148.45,84.32,493.98,64.13,2,5,True,Concluída
4905,OS004905,215,21,31,10,861,263.93,301.97,195.93,565.9,106.04,2,5,False,Concluída
4906,OS004906,455,20,15,7,728,0.0,0.0,0.0,0.0,0.0,7,3,False,Concluída
4907,OS004907,429,20,50,12,1719,597.68,575.26,388.03,1172.94,187.23,7,4,False,Concluída
4908,OS004908,459,9,3,9,2459,1468.02,1240.19,848.91,2708.21,391.28,7,4,False,Concluída
4909,OS004909,525,9,35,12,2743,294.42,226.96,163.38,521.38,63.58,1,4,False,Concluída
4910,OS004910,17,7,54,9,1557,2300.68,1415.81,888.49,3716.49,527.32,1,5,False,Concluída
4911,OS004911,76,1,77,8,1442,864.52,505.38,348.48,1369.9,156.9,2,4,False,Concluída
4912,OS004912,272,1,71,2,716,246.97,120.43,66.9,367.4,53.53,5,3,False,Concluída
4913,OS004913,110,19,84,4,401,547.88,467.78,264.1,1015.66,203.68,5,4,False,Cancelada
4914,OS004914,58,3,26,4,774,317.44,229.49,154.97,546.93,74.52,4,5,False,Concluída
4915,OS004915,464,7,83,8,3457,710.95,831.5,545.72,1542.45,285.78,4,4,False,Concluída
4916,OS004916,606,12,35,2,1911,222.1,262.9,157.05,485.0,105.85,5,5,False,Concluída
4917,OS004917,555,16,28,10,1161,301.97,186.11,132.24,488.08,53.87,1,4,False,Concluída
4918,OS004918,607,13,16,9,554,2314.18,1142.78,740.06,3456.96,402.72,7,4,False,Cancelada
4919,OS004919,484,18,48,12,1110,361.5,269.45,154.98,630.95,114.47,1,4,True,Concluída
4920,OS004920,540,24,81,2,3750,141.86,169.99,99.25,311.85,70.74,8,5,False,Concluída
4921,OS004921,205,17,69,4,2049,574.53,571.1,398.2,1145.63,172.9,6,5,False,Concluída
4922,OS004922,726,24,76,3,540,170.27,68.31,39.99,238.58,28.32,4,5,False,Concluída
4923,OS004923,132,9,22,10,3536,200.4,83.47,53.69,283.87,29.78,7,5,False,Em Aberto
4924,OS004924,157,14,12,8,2122,523.27,331.41,222.52,854.68,108.89,7,5,True,Concluída
4925,OS004925,219,5,58,1,605,486.03,425.27,278.16,911.3,147.11,1,4,False,Concluída
4926,OS004926,713,11,39,7,366,0.0,0.0,0.0,0.0,0.0,2,5,False,Concluída
4927,OS004927,723,20,36,7,3662,0.0,0.0,0.0,0.0,0.0,1,5,False,Concluída
4928,OS004928,589,6,6,9,3192,678.69,789.97,548.69,1468.66,241.28,7,5,False,Concluída
4929,OS004929,455,6,48,10,2478,313.54,311.38,179.32,624.92,132.06,4,5,False,Cancelada
4930,OS004930,384,24,8,8,1677,380.52,302.73,214.56,683.25,88.17,8,2,False,Concluída
4931,OS004931,709,8,70,6,3650,2798.03,2502.06,1541.26,5300.09,960.8,6,4,False,Cancelada
4932,OS004932,508,1,55,6,3476,1610.54,1918.46,1365.3,3529.0,553.16,7,2,False,Concluída
4933,OS004933,692,9,61,6,503,2096.08,1271.09,752.03,3367.17,519.06,1,5,False,Concluída
4934,OS004934,241,10,83,5,1602,418.45,367.14,254.43,785.59,112.71,5,4,False,Concluída
4935,OS004935,254,17,10,1,1042,555.29,332.75,189.73,888.04,143.02,2,4,False,Concluída
4936,OS004936,634,3,48,2,837,213.99,127.42,79.73,341.41,47.69,2,4,False,Concluída
4937,OS004937,106,23,66,11,1434,254.68,119.22,67.45,373.9,51.77,6,5,False,Concluída
4938,OS004938,693,21,24,12,2372,493.01,327.25,187.86,820.26,139.39,5,4,False,Concluída
4939,OS004939,373,22,28,6,1401,1205.22,499.61,328.8,1704.83,170.81,1,2,False,Concluída
4940,OS004940,681,13,34,2,3559,128.89,72.53,49.29,201.42,23.24,5,2,False,Concluída
4941,OS004941,256,8,57,5,735,730.3,309.63,187.23,1039.93,122.4,5,4,False,Em Aberto
4942,OS004942,524,20,67,10,2556,256.68,285.55,170.32,542.23,115.23,7,3,False,Concluída
4943,OS004943,353,14,26,1,772,479.58,248.72,139.07,728.3,109.65,1,5,False,Concluída
4944,OS004944,454,20,63,1,3501,515.16,316.1,208.46,831.26,107.64,1,5,False,Concluída
4945,OS004945,370,8,22,6,2046,2987.31,2882.97,1849.84,5870.28,1033.13,2,5,False,Concluída
4946,OS004946,707,19,36,1,1081,556.62,290.43,166.54,847.05,123.89,4,5,True,Concluída
4947,OS004947,505,13,78,4,3979,505.34,443.27,301.6,948.61,141.67,1,4,False,Concluída
4948,OS004948,188,6,37,2,3394,139.41,155.1,89.02,294.51,66.08,6,4,False,Concluída
4949,OS004949,670,4,3,9,1801,2302.71,1050.09,624.33,3352.8,425.76,6,5,False,Concluída
4950,OS004950,223,6,74,1,1101,621.45,481.04,329.15,1102.49,151.89,6,1,False,Concluída
4951,OS004951,280,20,64,3,120,143.72,79.64,48.02,223.36,31.62,4,5,False,Concluída
4952,OS004952,74,2,23,7,3646,0.0,0.0,0.0,0.0,0.0,1,4,True,Concluída
4953,OS004953,664,10,71,1,938,438.4,231.29,130.93,669.69,100.36,3,3,False,Concluída
4954,OS004954,217,11,58,1,3317,515.5,343.12,220.74,858.62,122.38,7,5,False,Concluída
4955,OS004955,195,11,12,6,3984,3333.32,3008.9,2057.1,6342.22,951.8,6,4,False,Em Aberto
4956,OS004956,677,3,52,12,1746,371.08,153.75,101.96,524.83,51.79,7,4,False,Concluída
4957,OS004957,598,11,11,6,1061,1108.94,471.71,296.7,1580.65,175.01,3,4,False,Em Aberto
4958,OS004958,99,8,9,4,3357,387.63,237.08,146.85,624.71,90.23,1,5,False,Concluída
4959,OS004959,569,17,5,10,2720,217.05,184.33,117.75,401.38,66.58,8,1,False,Concluída
4960,OS004960,672,22,70,3,509,88.67,41.83,29.26,130.5,12.57,3,5,False,Concluída
4961,OS004961,60,25,71,10,3922,240.1,269.7,174.37,509.8,95.33,7,4,False,Concluída
4962,OS004962,613,1,18,1,3419,370.59,174.79,97.01,545.38,77.78,5,5,False,Concluída
4963,OS004963,405,16,79,8,2382,1430.46,1390.78,767.65,2821.24,623.13,7,5,False,Concluída
4964,OS004964,487,20,65,8,2313,765.79,505.48,360.14,1271.27,145.34,5,5,False,Concluída
4965,OS004965,361,7,79,7,1890,0.0,0.0,0.0,0.0,0.0,5,5,False,Concluída
4966,OS004966,509,22,54,4,2315,562.04,626.71,448.94,1188.75,177.77,7,3,False,Concluída
4967,OS004967,31,22,9,2,151,248.38,268.67,161.46,517.05,107.21,1,2,False,Concluída
4968,OS004968,563,25,71,7,3225,0.0,0.0,0.0,0.0,0.0,4,5,False,Concluída
4969,OS004969,30,8,60,8,1234,208.9,166.99,112.95,375.89,54.04,4,3,False,Concluída
4970,OS004970,333,13,9,12,2408,587.41,380.23,263.77,967.64,116.46,5,4,False,Concluída
4971,OS004971,107,5,44,5,1287,587.9,497.76,309.47,1085.66,188.29,8,3,False,Concluída
4972,OS004972,612,18,11,9,673,3997.19,3308.9,1911.69,7306.09,1397.21,6,3,False,Concluída
4973,OS004973,239,12,3,10,2811,351.37,351.22,200.71,702.59,150.51,8,5,False,Concluída
4974,OS004974,332,16,77,8,1975,1068.63,584.13,366.26,1652.76,217.87,1,5,False,Concluída
4975,OS004975,316,3,5,4,3293,503.76,542.97,363.58,1046.73,179.39,7,4,False,Concluída
4976,OS004976,571,12,32,10,1286,386.99,443.3,302.84,830.29,140.46,3,5,False,Concluída
4977,OS004977,352,19,22,9,3076,3510.15,2179.28,1226.98,5689.43,952.3,8,5,False,Concluída
4978,OS004978,585,20,54,1,3665,615.16,447.23,287.47,1062.39,159.76,5,3,False,Concluída
4979,OS004979,57,18,53,12,2266,526.54,334.23,210.37,860.77,123.86,2,4,False,Concluída
4980,OS004980,139,8,62,9,2540,2852.13,2460.09,1620.34,5312.22,839.75,6,4,False,Concluída
4981,OS004981,408,24,50,1,2577,354.51,258.87,183.42,613.38,75.45,5,5,False,Concluída
4982,OS004982,693,13,26,5,233,800.48,629.74,378.62,1430.22,251.12,3,4,False,Concluída
4983,OS004983,57,8,67,5,3868,500.44,325.57,194.11,826.01,131.46,4,5,False,Concluída
4984,OS004984,37,10,54,8,1381,599.88,387.4,240.68,987.28,146.72,7,5,False,Cancelada
4985,OS004985,111,14,41,11,3970,259.54,300.54,173.0,560.08,127.54,6,5,False,Concluída
4986,OS004986,464,15,8,11,714,308.13,229.94,136.35,538.07,93.59,6,5,False,Concluída
4987,OS004987,298,21,24,5,2143,530.9,321.42,219.71,852.32,101.71,1,4,False,Concluída
4988,OS004988,613,15,13,12,1829,589.46,546.98,326.54,1136.44,220.44,5,5,False,Concluída
4989,OS004989,56,6,75,8,211,1035.66,487.13,278.17,1522.79,208.96,8,5,False,Concluída
4990,OS004990,143,14,60,1,3465,582.23,487.54,274.8,1069.77,212.74,3,5,False,Concluída
4991,OS004991,228,6,14,10,3051,292.72,117.68,78.1,410.4,39.58,4,5,False,Concluída
4992,OS004992,454,23,46,3,2038,110.67,74.14,48.17,184.81,25.97,5,5,False,Concluída
4993,OS004993,499,1,5,7,3572,0.0,0.0,0.0,0.0,0.0,3,5,False,Concluída
4994,OS004994,87,10,13,6,3386,2754.84,2266.1,1353.15,5020.94,912.95,7,5,False,Concluída
4995,OS004995,691,19,24,11,2548,257.37,307.42,190.25,564.79,117.17,1,4,False,Concluída
4996,OS004996,259,11,16,5,497,677.85,324.47,184.02,1002.32,140.45,1,3,False,Concluída
4997,OS004997,522,3,29,7,3546,0.0,0.0,0.0,0.0,0.0,6,5,False,Concluída
4998,OS004998,388,23,19,5,2927,648.8,600.28,358.62,1249.08,241.66,3,4,False,Cancelada
4999,OS004999,164,6,81,7,1508,0.0,0.0,0.0,0.0,0.0,7,5,False,Concluída
5000,OS005000,628,9,60,10,738,210.19,186.87,132.99,397.06,53.88,7,4,False,Concluída
5001,OS005001,608,25,62,3,3154,80.42,93.03,59.02,173.45,34.01,2,5,False,Concluída
5002,OS005002,296,9,48,6,3327,2726.53,2490.65,1583.78,5217.18,906.87,1,2,False,Concluída
5003,OS005003,431,4,32,2,3922,248.37,139.61,78.27,387.98,61.34,4,3,False,Concluída
5004,OS005004,194,3,46,1,651,381.51,288.95,199.6,670.46,89.35,1,5,False,Concluída
5005,OS005005,503,20,81,2,3758,130.42,136.43,75.79,266.85,60.64,1,5,False,Concluída
5006,OS005006,235,19,71,4,1596,383.94,435.84,274.89,819.78,160.95,2,5,False,Concluída
5007,OS005007,627,23,69,11,2829,198.14,198.17,125.72,396.31,72.45,2,3,False,Concluída
5008,OS005008,160,11,56,10,2082,317.94,245.87,162.49,563.81,83.38,7,5,False,Concluída
5009,OS005009,14,19,33,6,209,923.09,922.51,646.11,1845.6,276.4,7,5,True,Concluída
5010,OS005010,203,17,23,11,2398,326.82,171.41,123.06,498.23,48.35,6,5,False,Concluída
5011,OS005011,139,8,78,5,1811,946.99,846.11,573.42,1793.1,272.69,1,5,False,Concluída
5012,OS005012,374,6,61,8,576,1138.29,690.6,448.14,1828.89,242.46,5,5,False,Concluída
5013,OS005013,149,5,4,2,2459,229.9,208.96,144.11,438.86,64.85,6,5,False,Concluída
5014,OS005014,564,8,65,3,2944,166.73,189.57,124.52,356.3,65.05,2,4,False,Concluída
5015,OS005015,180,8,2,2,1648,146.78,110.09,64.73,256.87,45.36,3,4,False,Concluída
5016,OS005016,517,3,58,10,2462,341.23,142.67,100.85,483.9,41.82,8,5,False,Concluída
5017,OS005017,425,19,73,2,1533,187.94,75.7,43.41,263.64,32.29,8,5,False,Concluída
5018,OS005018,721,16,28,4,111,539.5,240.07,141.29,779.57,98.78,2,3,False,Concluída
5019,OS005019,731,10,33,12,2557,580.92,281.53,156.16,862.45,125.37,2,2,False,Concluída
5020,OS005020,644,23,23,2,2707,221.3,171.73,118.82,393.03,52.91,3,4,True,Concluída
5021,OS005021,561,3,84,2,1083,236.19,222.37,155.54,458.56,66.83,7,5,False,Concluída
5022,OS005022,290,9,31,3,2684,105.13,83.3,47.52,188.43,35.78,4,5,False,Concluída
5023,OS005023,555,8,48,1,667,495.55,530.24,295.27,1025.79,234.97,7,4,False,Concluída
5024,OS005024,699,8,46,5,162,847.73,411.01,289.15,1258.74,121.86,3,4,False,Concluída
5025,OS005025,21,25,45,11,1061,309.65,259.37,172.36,569.02,87.01,6,5,False,Concluída
5026,OS005026,399,8,32,4,3088,613.75,474.07,338.94,1087.82,135.13,1,3,False,Cancelada
5027,OS005027,160,20,51,11,1636,152.95,140.88,93.51,293.83,47.37,5,3,False,Em Aberto
5028,OS005028,412,7,47,11,3772,188.83,191.55,112.3,380.38,79.25,7,4,False,Concluída
5029,OS005029,341,14,61,1,3253,639.2,338.66,233.72,977.86,104.94,7,5,False,Concluída
5030,OS005030,424,22,50,6,3395,2379.72,2454.62,1510.47,4834.34,944.15,7,4,False,Concluída
5031,OS005031,407,17,35,7,808,0.0,0.0,0.0,0.0,0.0,5,5,False,Concluída
5032,OS005032,702,12,15,4,3330,459.36,357.26,220.11,816.62,137.15,8,5,False,Concluída
5033,OS005033,408,5,79,3,2798,148.22,101.56,63.4,249.78,38.16,2,5,False,Concluída
5034,OS005034,628,2,37,9,3819,1436.09,1550.64,1093.89,2986.73,456.75,6,4,False,Concluída
5035,OS005035,244,25,56,11,37,289.4,333.3,236.76,622.7,96.54,2,5,False,Concluída
5036,OS005036,322,15,59,3,1804,112.19,110.92,76.82,223.11,34.1,5,2,False,Concluída
5037,OS005037,344,11,25,5,2450,1058.76,752.48,414.43,1811.24,338.05,1,5,False,Concluída
5038,OS005038,211,15,20,5,2432,574.07,396.79,284.29,970.86,112.5,5,4,False,Em Aberto
5039,OS005039,285,13,48,7,969,0.0,0.0,0.0,0.0,0.0,4,4,False,Concluída
5040,OS005040,437,19,20,1,2463,560.84,536.09,351.35,1096.93,184.74,4,5,False,Concluída
5041,OS005041,426,12,15,11,1201,265.58,167.54,116.51,433.12,51.03,2,5,True,Concluída
5042,OS005042,461,15,62,3,2421,102.04,41.65,29.37,143.69,12.28,7,4,False,Concluída
5043,OS005043,267,12,14,3,1456,140.07,146.74,101.01,286.81,45.73,6,4,False,Concluída
5044,OS005044,241,23,21,10,957,371.63,162.58,92.21,534.21,70.37,2,5,False,Concluída
5045,OS005045,445,18,50,10,1274,275.41,268.73,182.69,544.14,86.04,7,5,False,Concluída
5046,OS005046,93,23,81,8,1438,1107.77,801.39,548.96,1909.16,252.43,4,4,False,Concluída
5047,OS005047,190,4,69,3,3444,146.77,168.58,117.44,315.35,51.14,4,1,False,Concluída
5048,OS005048,36,11,15,7,2355,0.0,0.0,0.0,0.0,0.0,1,3,False,Concluída
5049,OS005049,56,22,63,9,505,1707.9,1803.8,1262.08,3511.7,541.72,5,2,False,Cancelada
5050,OS005050,182,15,43,8,2641,1385.71,1020.56,694.68,2406.27,325.88,3,2,False,Concluída
5051,OS005051,18,25,27,6,717,2124.58,2244.0,1457.45,4368.58,786.55,7,4,False,Concluída
5052,OS005052,183,24,61,5,1021,1084.42,539.85,340.28,1624.27,199.57,6,5,False,Concluída
5053,OS005053,475,25,54,7,444,0.0,0.0,0.0,0.0,0.0,2,4,False,Concluída
5054,OS005054,49,5,59,9,1039,1065.17,1082.58,762.13,2147.75,320.45,8,4,False,Concluída
5055,OS005055,321,5,39,12,967,365.33,174.91,103.16,540.24,71.75,6,5,True,Concluída
5056,OS005056,672,20,84,6,3114,2865.71,2287.41,1296.36,5153.12,991.05,6,5,False,Concluída
5057,OS005057,587,25,35,11,2896,201.92,141.57,100.46,343.49,41.11,1,5,False,Concluída
5058,OS005058,232,10,81,11,694,302.49,317.52,199.57,620.01,117.95,4,5,False,Concluída
5059,OS005059,680,24,9,2,3649,215.47,89.44,53.69,304.91,35.75,5,4,False,Concluída
5060,OS005060,251,22,60,8,2320,765.67,758.41,544.87,1524.08,213.54,5,1,False,Concluída
5061,OS005061,56,10,62,4,1636,469.14,361.27,207.38,830.41,153.89,6,4,False,Concluída
5062,OS005062,727,22,68,6,2218,974.58,469.16,294.78,1443.74,174.38,1,4,False,Concluída
5063,OS005063,644,6,16,2,1601,227.5,175.42,107.27,402.92,68.15,5,5,False,Concluída
5064,OS005064,341,6,16,6,3187,2837.69,2226.3,1601.01,5063.99,625.29,4,3,False,Cancelada
5065,OS005065,484,23,32,2,3372,182.55,178.56,104.78,361.11,73.78,8,5,False,Concluída
5066,OS005066,488,6,38,1,1025,445.42,526.91,337.28,972.33,189.63,3,5,False,Concluída
5067,OS005067,141,24,39,11,1074,327.73,208.83,117.44,536.56,91.39,5,4,False,Concluída
5068,OS005068,146,7,62,5,497,802.6,529.28,332.41,1331.88,196.87,3,5,False,Concluída
5069,OS005069,343,18,63,4,3451,453.33,240.08,139.09,693.41,100.99,5,5,False,Em Aberto
5070,OS005070,671,4,16,11,2749,304.12,217.61,139.22,521.73,78.39,3,4,False,Concluída
5071,OS005071,9,14,54,4,3941,657.4,360.75,230.07,1018.15,130.68,5,5,True,Concluída
5072,OS005072,580,11,15,1,726,649.11,492.65,306.85,1141.76,185.8,3,4,False,Concluída
5073,OS005073,46,7,18,9,3804,634.97,585.55,359.6,1220.52,225.95,4,3,False,Concluída
5074,OS005074,350,18,4,12,2290,300.34,347.34,241.8,647.68,105.54,4,4,False,Concluída
5075,OS005075,462,20,37,11,1187,338.62,191.86,123.41,530.48,68.45,7,5,False,Concluída
5076,OS005076,501,2,40,8,274,818.65,780.42,476.75,1599.07,303.67,3,4,False,Concluída
5077,OS005077,47,2,63,1,2743,415.37,341.94,230.04,757.31,111.9,8,5,False,Em Aberto
5078,OS005078,310,7,68,5,1456,885.91,642.42,426.7,1528.33,215.72,1,5,False,Concluída
5079,OS005079,428,11,17,11,2092,309.47,251.79,178.55,561.26,73.24,7,4,False,Concluída
5080,OS005080,52,18,81,12,3595,456.96,268.24,150.16,725.2,118.08,6,5,False,Concluída
5081,OS005081,94,20,48,9,913,3252.59,3323.94,1974.92,6576.53,1349.02,6,4,False,Concluída
5082,OS005082,482,7,19,1,2855,586.46,557.05,395.73,1143.51,161.32,3,4,False,Concluída
5083,OS005083,385,22,39,10,293,294.85,254.21,171.89,549.06,82.32,6,3,False,Concluída
5084,OS005084,115,20,65,10,1887,319.24,242.46,172.57,561.7,69.89,1,5,False,Concluída
5085,OS005085,397,25,53,3,41,111.43,105.35,71.16,216.78,34.19,7,1,False,Concluída
5086,OS005086,672,5,18,11,1079,240.05,237.5,150.82,477.55,86.68,8,5,False,Concluída
5087,OS005087,14,2,39,12,3168,424.93,285.21,169.21,710.14,116.0,7,1,False,Concluída
5088,OS005088,466,14,60,12,2494,547.69,476.14,331.7,1023.83,144.44,4,5,False,Concluída
5089,OS005089,57,7,77,4,368,632.47,519.62,298.79,1152.09,220.83,3,4,True,Concluída
5090,OS005090,6,10,35,2,1185,181.99,198.05,134.16,380.04,63.89,3,5,False,Concluída
5091,OS005091,107,18,73,9,306,2148.5,1213.89,679.95,3362.39,533.94,3,5,False,Concluída
5092,OS005092,313,8,81,1,1446,402.63,368.31,232.76,770.94,135.55,2,4,False,Concluída
5093,OS005093,595,23,34,4,3216,604.63,646.19,446.6,1250.82,199.59,8,4,False,Em Aberto
5094,OS005094,214,16,15,10,1442,285.19,141.61,89.73,426.8,51.88,7,3,False,Concluída
5095,OS005095,453,14,73,12,3918,307.53,314.77,181.56,622.3,133.21,6,4,False,Concluída
5096,OS005096,306,9,19,3,640,91.4,56.17,36.17,147.57,20.0,4,5,True,Concluída
5097,OS005097,174,6,75,10,932,206.48,111.62,63.36,318.1,48.26,7,5,False,Concluída
5098,OS005098,379,7,63,9,3599,3848.2,1563.49,1015.28,5411.69,548.21,3,5,False,Concluída
5099,OS005099,592,9,82,11,2257,187.44,209.71,141.97,397.15,67.74,1,4,False,Concluída
5100,OS005100,618,7,26,3,2616,89.57,106.0,63.1,195.57,42.9,7,3,False,Concluída
5101,OS005101,628,9,49,7,3513,0.0,0.0,0.0,0.0,0.0,1,5,False,Concluída
5102,OS005102,257,24,4,11,1614,234.46,98.52,55.38,332.98,43.14,8,5,False,Concluída
5103,OS005103,588,21,66,2,1005,234.86,236.64,167.23,471.5,69.41,2,5,False,Concluída
5104,OS005104,155,7,17,8,88,720.08,399.8,280.18,1119.88,119.62,1,3,False,Concluída
5105,OS005105,543,12,1,2,2571,235.46,223.26,158.52,458.72,64.74,5,5,False,Concluída
5106,OS005106,694,23,77,10,3677,316.66,179.53,111.35,496.19,68.18,8,4,False,Concluída
5107,OS005107,13,17,74,9,2009,1224.04,1387.4,851.93,2611.44,535.47,4,4,False,Concluída
5108,OS005108,324,20,81,9,324,3499.56,3815.99,2384.6,7315.55,1431.39,5,3,False,Concluída
5109,OS005109,470,21,9,9,3936,3260.57,2434.29,1438.87,5694.86,995.42,1,3,True,Concluída
5110,OS005110,512,12,10,6,3616,2257.81,2633.33,1462.89,4891.14,1170.44,7,3,False,Concluída
5111,OS005111,127,22,49,7,2883,0.0,0.0,0.0,0.0,0.0,1,5,False,Concluída
5112,OS005112,711,23,48,12,3462,304.7,207.15,139.59,511.85,67.56,6,4,False,Concluída
5113,OS005113,447,5,48,4,3475,343.49,303.27,204.86,646.76,98.41,4,3,False,Concluída
5114,OS005114,117,18,15,11,657,175.44,168.52,121.09,343.96,47.43,8,5,False,Concluída
5115,OS005115,19,5,45,11,3196,186.04,202.59,116.94,388.63,85.65,2,4,False,Concluída
5116,OS005116,580,5,2,2,48,226.89,131.09,86.63,357.98,44.46,5,5,False,Concluída
5117,OS005117,60,7,58,3,2752,177.49,150.97,94.05,328.46,56.92,3,5,False,Concluída
5118,OS005118,99,3,38,3,901,163.04,158.93,99.64,321.97,59.29,6,5,False,Concluída
5119,OS005119,423,1,3,1,2250,597.22,455.62,263.46,1052.84,192.16,5,1,False,Concluída
5120,OS005120,440,6,59,3,2685,115.59,65.23,41.3,180.82,23.93,6,4,False,Concluída
5121,OS005121,501,7,63,4,1371,309.36,302.62,192.46,611.98,110.16,7,1,True,Concluída
5122,OS005122,294,8,43,4,2340,420.54,169.15,114.55,589.69,54.6,6,4,False,Concluída
5123,OS005123,573,14,4,3,992,155.35,167.34,92.65,322.69,74.69,1,5,False,Concluída
5124,OS005124,712,23,43,10,953,309.13,288.14,203.66,597.27,84.48,3,5,False,Concluída
5125,OS005125,205,15,61,4,2517,538.01,286.61,195.23,824.62,91.38,6,3,False,Concluída
5126,OS005126,513,7,49,11,496,305.33,352.84,246.97,658.17,105.87,4,5,False,Concluída
5127,OS005127,682,7,64,4,1632,547.88,341.65,219.4,889.53,122.25,1,5,False,Concluída
5128,OS005128,500,1,20,3,2091,138.48,74.6,43.02,213.08,31.58,4,5,False,Concluída
5129,OS005129,496,9,45,5,3170,597.81,322.01,229.52,919.82,92.49,4,5,False,Concluída
5130,OS005130,165,25,17,12,3313,375.13,162.28,111.59,537.41,50.69,6,4,False,Concluída
5131,OS005131,397,7,66,3,1359,114.41,134.86,76.78,249.27,58.08,4,5,False,Concluída
5132,OS005132,415,25,22,8,1865,1486.1,931.7,638.55,2417.8,293.15,1,5,False,Concluída
5133,OS005133,511,20,50,11,2178,195.21,141.3,89.83,336.51,51.47,5,5,False,Concluída
5134,OS005134,729,7,70,3,3175,149.51,84.7,49.37,234.21,35.33,4,5,False,Concluída
5135,OS005135,30,18,25,10,1453,238.55,126.37,87.76,364.92,38.61,7,4,False,Concluída
5136,OS005136,51,14,2,3,1350,171.91,150.19,85.98,322.1,64.21,1,4,False,Concluída
5137,OS005137,59,22,43,8,1499,650.87,649.11,416.42,1299.98,232.69,4,4,False,Concluída
5138,OS005138,547,15,17,12,725,292.86,311.99,213.42,604.85,98.57,5,3,False,Concluída
5139,OS005139,95,18,73,1,3490,377.14,416.27,233.02,793.41,183.25,6,4,False,Concluída
5140,OS005140,451,10,20,11,1916,300.27,214.47,151.05,514.74,63.42,3,5,False,Cancelada
5141,OS005141,247,3,37,4,2920,680.55,336.41,198.91,1016.96,137.5,8,2,False,Concluída
