"sk_cliente","id_cliente","segmento_cliente","canal_aquisicao","uf_cliente","qtd_visitas","primeira_visita","ultima_visita","valor_lifetime","classificacao_retencao"
59,"CLI00059","PF - Premium","Recall","SP","9","2023-06-20","2024-11-10","9779.34","Fiel"
2157,"CLI02157","PF - Varejo","Indicação","RJ","9","2023-05-13","2024-12-05","10633.77","Fiel"
2506,"CLI02506","PF - Premium","Indicação","SP","9","2023-01-08","2024-11-22","11495.15","Fiel"
605,"CLI00605","PF - Premium","Showroom","GO","9","2023-03-07","2024-12-26","5213.31","Fiel"
746,"CLI00746","PJ - Frota Pequena","Fidelização","SP","9","2023-01-21","2024-12-20","9805.10","Fiel"
3296,"CLI03296","PJ - Frota Grande","Recall","DF","9","2023-01-01","2024-12-29","15485.20","Fiel"
1195,"CLI01195","PF - Varejo","Fidelização","SP","9","2023-04-19","2024-12-24","7000.76","Fiel"
2665,"CLI02665","PJ - Frota Grande","Indicação","BA","9","2023-01-15","2024-11-19","7100.92","Fiel"
1418,"CLI01418","PF - Premium","Showroom","RJ","9","2023-01-05","2024-12-22","23544.09","Fiel"
846,"CLI00846","PJ - Frota Pequena","Fidelização","ES","9","2023-02-09","2024-09-22","16006.22","Fiel"
2773,"CLI02773","PF - Varejo","Recall","DF","9","2023-05-08","2024-10-28","11360.49","Fiel"
2882,"CLI02882","PJ - Frota Grande","Indicação","BA","9","2023-02-26","2024-10-23","7363.27","Fiel"
3804,"CLI03804","PF - Premium","Digital","SP","9","2023-01-03","2024-06-18","11350.05","Fiel"
3445,"CLI03445","PF - Varejo","CRM Ativo","MG","9","2023-01-16","2024-12-01","15035.15","Fiel"
2362,"CLI02362","PF - Varejo","Digital","RS","9","2023-10-26","2024-12-09","10691.88","Fiel"
2251,"CLI02251","PF - Varejo","Recall","SP","9","2023-01-17","2024-12-07","24114.78","Fiel"
1389,"CLI01389","PJ - Frota Grande","Fidelização","MG","9","2023-03-13","2024-10-14","6560.66","Fiel"
3164,"CLI03164","PJ - Frota Pequena","Showroom","SP","9","2023-03-17","2024-05-05","7312.76","Fiel"
3010,"CLI03010","PJ - Frota Pequena","Recall","RS","9","2023-03-17","2024-10-31","10650.58","Fiel"
1626,"CLI01626","PJ - Frota Grande","Indicação","GO","9","2023-02-03","2024-10-13","10392.54","Fiel"
1365,"CLI01365","PF - Varejo","Digital","BA","9","2023-05-15","2024-12-31","21429.48","Fiel"
1897,"CLI01897","PF - Varejo","Digital","SP","9","2023-04-20","2024-11-13","12125.48","Fiel"
1051,"CLI01051","PJ - Frota Pequena","Digital","RS","9","2023-02-05","2024-11-04","16187.90","Fiel"
630,"CLI00630","PJ - Frota Pequena","Fidelização","PR","9","2023-06-06","2024-08-07","6934.10","Fiel"
2229,"CLI02229","PJ - Frota Pequena","Digital","RJ","9","2023-05-02","2024-12-23","5192.93","Fiel"
1076,"CLI01076","PJ - Frota Grande","Indicação","ES","9","2023-01-08","2024-11-30","12376.69","Fiel"
558,"CLI00558","PJ - Frota Pequena","Fidelização","PR","9","2023-01-26","2024-12-08","4382.78","Fiel"
1453,"CLI01453","PF - Varejo","Showroom","PR","9","2023-01-30","2024-12-31","20475.85","Fiel"
1709,"CLI01709","PF - Varejo","Fidelização","RS","9","2023-01-19","2024-12-26","6442.39","Fiel"
3540,"CLI03540","PF - Varejo","Fidelização","RJ","9","2023-02-01","2024-11-29","5887.36","Fiel"
1764,"CLI01764","PF - Premium","Recall","BA","9","2023-01-13","2024-11-21","12505.17","Fiel"
3295,"CLI03295","PF - Premium","Recall","GO","9","2023-04-22","2024-12-18","8263.00","Fiel"
2662,"CLI02662","PF - Varejo","Fidelização","SP","9","2023-02-09","2024-09-03","11141.17","Fiel"
3511,"CLI03511","PJ - Frota Pequena","CRM Ativo","RJ","9","2023-04-03","2024-10-30","11003.79","Fiel"
2989,"CLI02989","PJ - Frota Grande","Digital","SP","9","2023-02-16","2024-12-04","8981.91","Fiel"
1593,"CLI01593","PF - Premium","CRM Ativo","SP","9","2023-03-02","2024-10-03","12891.72","Fiel"
552,"CLI00552","PF - Varejo","Showroom","SP","9","2023-04-22","2024-10-24","14054.68","Fiel"
3875,"CLI03875","PJ - Frota Grande","Digital","DF","9","2023-02-03","2024-10-18","11625.73","Fiel"
325,"CLI00325","PF - Varejo","Fidelização","SP","9","2023-04-30","2024-11-23","10394.68","Fiel"
2853,"CLI02853","PF - Varejo","Fidelização","MG","9","2023-05-06","2024-12-11","5219.96","Fiel"
736,"CLI00736","PJ - Frota Pequena","Showroom","PR","9","2023-05-20","2024-11-24","9056.41","Fiel"
2874,"CLI02874","PF - Varejo","Showroom","DF","9","2023-03-07","2024-08-13","5279.26","Fiel"
2340,"CLI02340","PF - Varejo","Recall","RJ","9","2023-03-14","2024-12-29","9597.08","Fiel"
2347,"CLI02347","PF - Premium","Indicação","RS","9","2023-02-24","2024-12-14","7765.58","Fiel"
2355,"CLI02355","PF - Varejo","Indicação","RJ","9","2023-01-18","2024-10-04","9128.78","Fiel"
3001,"CLI03001","PF - Varejo","Showroom","PR","9","2023-05-15","2024-10-02","7006.05","Fiel"
13,"CLI00013","PJ - Frota Pequena","Showroom","BA","9","2023-01-30","2024-08-31","10396.19","Fiel"
2403,"CLI02403","PF - Premium","Digital","SP","9","2023-04-30","2024-12-07","12988.99","Fiel"
2411,"CLI02411","PJ - Frota Pequena","Indicação","SP","9","2023-01-02","2024-12-24","7652.99","Fiel"
2930,"CLI02930","PF - Varejo","Digital","ES","9","2023-03-01","2024-11-29","7137.54","Fiel"
2358,"CLI02358","PF - Varejo","Fidelização","SP","9","2023-01-22","2024-09-14","7158.54","Fiel"
3183,"CLI03183","PF - Varejo","Showroom","GO","9","2023-01-03","2024-12-15","15420.27","Fiel"
3661,"CLI03661","PF - Premium","Indicação","PR","9","2023-02-06","2024-10-28","11084.51","Fiel"
11,"CLI00011","PF - Premium","Indicação","GO","9","2023-01-10","2024-10-04","17670.97","Fiel"
336,"CLI00336","PF - Varejo","Showroom","SC","9","2023-04-14","2024-10-16","8909.03","Fiel"
3513,"CLI03513","PJ - Frota Grande","Indicação","RS","9","2023-01-31","2024-09-28","14065.51","Fiel"
1412,"CLI01412","PJ - Frota Pequena","Fidelização","RJ","9","2023-03-05","2024-11-05","6085.65","Fiel"
2291,"CLI02291","PJ - Frota Pequena","Showroom","SP","9","2023-01-08","2024-06-13","17591.48","Fiel"
139,"CLI00139","PJ - Frota Grande","Digital","SP","9","2023-01-16","2024-12-28","6770.02","Fiel"
3707,"CLI03707","PF - Varejo","Fidelização","BA","9","2023-05-20","2024-11-15","10141.59","Fiel"
3191,"CLI03191","PJ - Frota Pequena","Indicação","ES","9","2023-02-03","2024-11-13","13466.17","Fiel"
81,"CLI00081","PF - Premium","Recall","SP","9","2023-03-18","2024-12-05","10102.91","Fiel"
1940,"CLI01940","PF - Varejo","Fidelização","SP","9","2023-02-18","2024-10-03","11771.90","Fiel"
3813,"CLI03813","PJ - Frota Pequena","Digital","MG","9","2023-04-10","2024-07-05","10360.18","Fiel"
3770,"CLI03770","PF - Varejo","Indicação","PR","9","2023-02-17","2024-08-09","10142.23","Fiel"
3667,"CLI03667","PF - Varejo","Fidelização","SP","8","2023-02-08","2024-12-16","4507.14","Fiel"
3536,"CLI03536","PF - Varejo","Digital","DF","8","2023-08-10","2024-12-08","5933.66","Fiel"
1402,"CLI01402","PF - Varejo","Showroom","PR","8","2023-02-07","2024-12-16","13586.78","Fiel"
382,"CLI00382","PF - Premium","CRM Ativo","PR","8","2023-06-29","2024-10-13","6124.06","Fiel"
2124,"CLI02124","PJ - Frota Grande","Digital","DF","8","2023-08-11","2024-11-11","13571.22","Fiel"
1832,"CLI01832","PJ - Frota Grande","Digital","SP","8","2023-02-16","2024-10-28","11820.22","Fiel"
1504,"CLI01504","PJ - Frota Pequena","Indicação","DF","8","2023-03-06","2024-10-02","3905.48","Fiel"
3415,"CLI03415","PJ - Frota Pequena","Fidelização","MG","8","2023-05-21","2024-09-11","5106.71","Fiel"
2204,"CLI02204","PF - Premium","CRM Ativo","SP","8","2023-03-23","2024-11-25","7377.92","Fiel"
3586,"CLI03586","PF - Varejo","CRM Ativo","CE","8","2023-03-08","2024-12-07","4699.69","Fiel"
2926,"CLI02926","PF - Varejo","Indicação","BA","8","2023-02-24","2024-10-05","6866.69","Fiel"
3326,"CLI03326","PF - Varejo","Digital","RJ","8","2023-02-18","2024-09-14","7407.87","Fiel"
2843,"CLI02843","PF - Premium","Showroom","SP","8","2023-06-25","2024-10-15","3973.52","Fiel"
2363,"CLI02363","PF - Varejo","Fidelização","GO","8","2023-02-09","2024-12-12","8172.68","Fiel"
3169,"CLI03169","PJ - Frota Pequena","CRM Ativo","SP","8","2023-06-03","2024-12-27","7544.17","Fiel"
2466,"CLI02466","PF - Premium","Fidelização","GO","8","2023-02-02","2024-05-13","10473.71","Fiel"
2592,"CLI02592","PJ - Frota Pequena","Fidelização","PR","8","2023-03-01","2024-10-24","20678.33","Fiel"
755,"CLI00755","PJ - Frota Grande","Indicação","RJ","8","2023-09-14","2024-12-23","9279.04","Fiel"
439,"CLI00439","PF - Varejo","Digital","DF","8","2023-09-05","2024-11-25","9193.74","Fiel"
1821,"CLI01821","PJ - Frota Grande","Fidelização","RJ","8","2024-02-15","2024-12-14","7314.32","Fiel"
3026,"CLI03026","PJ - Frota Grande","Digital","ES","8","2023-02-12","2024-12-04","8089.53","Fiel"
2793,"CLI02793","PF - Premium","Indicação","SP","8","2023-02-22","2024-10-09","7295.29","Fiel"
3013,"CLI03013","PJ - Frota Grande","Digital","DF","8","2023-03-17","2024-06-06","5360.67","Fiel"
2605,"CLI02605","PJ - Frota Pequena","Fidelização","ES","8","2023-02-06","2024-11-19","14801.50","Fiel"
801,"CLI00801","PJ - Frota Pequena","Indicação","RJ","8","2023-03-16","2024-07-10","15623.78","Fiel"
183,"CLI00183","PF - Varejo","Indicação","CE","8","2023-01-18","2024-11-12","6892.05","Fiel"
289,"CLI00289","PF - Varejo","Showroom","PR","8","2024-01-07","2024-12-02","12061.33","Fiel"
3861,"CLI03861","PF - Premium","Fidelização","RS","8","2023-06-07","2024-11-29","12955.62","Fiel"
2448,"CLI02448","PJ - Frota Pequena","CRM Ativo","BA","8","2023-03-01","2024-11-06","5445.89","Fiel"
3088,"CLI03088","PF - Varejo","Fidelização","CE","8","2023-03-06","2024-10-07","8039.05","Fiel"
909,"CLI00909","PF - Premium","Recall","SC","8","2023-03-16","2024-10-29","10902.21","Fiel"
2208,"CLI02208","PF - Premium","Digital","SP","8","2023-03-21","2024-12-27","13093.35","Fiel"
3785,"CLI03785","PF - Premium","Digital","MG","8","2023-05-06","2024-12-19","15504.21","Fiel"
31,"CLI00031","PF - Varejo","Recall","MG","8","2023-07-20","2024-08-27","8971.00","Fiel"
1099,"CLI01099","PF - Varejo","Digital","SP","8","2023-03-07","2024-12-28","19364.13","Fiel"
497,"CLI00497","PF - Varejo","Indicação","SP","8","2023-05-08","2024-09-26","8300.84","Fiel"
3004,"CLI03004","PJ - Frota Pequena","Recall","SP","8","2023-02-28","2024-11-06","5495.30","Fiel"
1371,"CLI01371","PF - Varejo","Digital","RJ","8","2023-01-04","2024-12-29","6683.43","Fiel"
2836,"CLI02836","PJ - Frota Pequena","Digital","ES","8","2023-06-14","2024-10-19","11316.44","Fiel"
2584,"CLI02584","PF - Varejo","Indicação","RS","8","2023-01-17","2024-11-16","16200.12","Fiel"
699,"CLI00699","PF - Varejo","Indicação","RJ","8","2023-01-10","2024-08-10","8232.74","Fiel"
3567,"CLI03567","PF - Varejo","Showroom","SP","8","2023-07-10","2024-09-23","13488.24","Fiel"
37,"CLI00037","PF - Premium","Showroom","SP","8","2023-03-16","2024-12-18","11227.37","Fiel"
3399,"CLI03399","PF - Varejo","Indicação","SP","8","2023-01-25","2024-09-25","5526.26","Fiel"
3609,"CLI03609","PF - Varejo","Showroom","CE","8","2023-01-26","2024-12-30","13735.39","Fiel"
1315,"CLI01315","PF - Varejo","Indicação","SC","8","2023-02-03","2024-02-17","8529.00","Fiel"
3151,"CLI03151","PF - Varejo","Digital","SC","8","2023-08-03","2024-10-25","8214.80","Fiel"
3665,"CLI03665","PF - Varejo","Showroom","SP","8","2023-01-20","2024-11-29","11826.60","Fiel"
1083,"CLI01083","PJ - Frota Grande","Digital","PR","8","2023-03-29","2024-12-13","9000.68","Fiel"
1498,"CLI01498","PF - Premium","Digital","CE","8","2023-04-06","2024-10-27","9150.56","Fiel"
2155,"CLI02155","PF - Varejo","Digital","SP","8","2023-04-07","2024-07-13","8448.52","Fiel"
2994,"CLI02994","PF - Varejo","CRM Ativo","RJ","8","2023-03-27","2024-10-26","11009.90","Fiel"
1744,"CLI01744","PJ - Frota Grande","Digital","RS","8","2023-01-21","2024-11-06","6854.99","Fiel"
1792,"CLI01792","PF - Premium","Recall","MG","8","2023-04-28","2024-12-18","6401.22","Fiel"
1960,"CLI01960","PF - Varejo","Indicação","RS","8","2023-06-15","2024-11-05","12122.31","Fiel"
1800,"CLI01800","PF - Varejo","Indicação","RJ","8","2023-01-14","2024-10-07","11708.23","Fiel"
2924,"CLI02924","PF - Premium","Digital","RJ","8","2023-03-27","2024-07-11","12790.41","Fiel"
3944,"CLI03944","PJ - Frota Pequena","Indicação","SP","8","2023-02-25","2024-11-17","10871.86","Fiel"
4000,"CLI04000","PF - Premium","Indicação","MG","8","2023-02-04","2024-09-04","20818.08","Fiel"
459,"CLI00459","PF - Varejo","Fidelização","BA","8","2023-01-01","2024-12-10","7538.25","Fiel"
3144,"CLI03144","PF - Varejo","Recall","PR","8","2023-02-28","2024-11-13","14851.72","Fiel"
2275,"CLI02275","PF - Varejo","Showroom","SC","8","2023-06-05","2024-12-16","18397.14","Fiel"
1482,"CLI01482","PJ - Frota Pequena","Indicação","SP","8","2023-02-24","2024-12-21","5946.14","Fiel"
3332,"CLI03332","PF - Premium","Fidelização","SP","8","2023-08-06","2024-11-10","13490.70","Fiel"
2532,"CLI02532","PF - Varejo","Fidelização","SP","8","2023-02-13","2024-10-15","14183.04","Fiel"
3800,"CLI03800","PJ - Frota Grande","CRM Ativo","PE","8","2023-02-07","2024-12-21","15836.67","Fiel"
1871,"CLI01871","PJ - Frota Grande","Digital","RJ","8","2023-01-07","2024-10-18","21741.63","Fiel"
116,"CLI00116","PJ - Frota Grande","Indicação","RJ","8","2023-01-12","2024-09-21","8384.60","Fiel"
1249,"CLI01249","PF - Varejo","Recall","DF","8","2023-04-24","2024-09-04","6448.52","Fiel"
412,"CLI00412","PJ - Frota Pequena","Digital","DF","8","2023-03-16","2024-08-28","15482.48","Fiel"
3629,"CLI03629","PF - Varejo","Fidelização","RJ","8","2023-01-15","2024-12-30","4686.42","Fiel"
1720,"CLI01720","PF - Varejo","Indicação","RS","8","2023-04-19","2024-12-22","9575.86","Fiel"
2500,"CLI02500","PF - Varejo","Fidelização","SP","8","2023-01-27","2024-12-03","11706.94","Fiel"
2698,"CLI02698","PJ - Frota Pequena","Showroom","PR","8","2023-03-21","2024-11-19","9411.66","Fiel"
3043,"CLI03043","PF - Premium","Digital","MG","8","2023-08-05","2024-09-27","4756.15","Fiel"
1281,"CLI01281","PJ - Frota Pequena","Recall","SC","8","2023-03-11","2024-12-23","8807.27","Fiel"
681,"CLI00681","PJ - Frota Pequena","Recall","SP","8","2023-01-11","2024-09-22","7430.41","Fiel"
723,"CLI00723","PJ - Frota Grande","Indicação","RS","8","2023-08-14","2024-12-03","9012.23","Fiel"
339,"CLI00339","PF - Premium","Digital","PR","8","2023-03-24","2024-10-30","11483.76","Fiel"
1149,"CLI01149","PJ - Frota Pequena","Digital","DF","8","2023-05-25","2024-04-15","6110.90","Fiel"
1456,"CLI01456","PF - Varejo","Indicação","BA","8","2023-01-06","2024-10-03","10687.11","Fiel"
2035,"CLI02035","PF - Varejo","Digital","MG","8","2023-06-14","2024-12-17","13164.01","Fiel"
797,"CLI00797","PF - Premium","Indicação","RS","8","2023-02-08","2024-10-28","7125.07","Fiel"
2586,"CLI02586","PF - Varejo","Fidelização","RJ","8","2023-02-02","2024-08-03","9816.39","Fiel"
982,"CLI00982","PF - Varejo","Indicação","GO","8","2023-05-12","2024-11-01","6228.41","Fiel"
2583,"CLI02583","PJ - Frota Pequena","Digital","SP","8","2023-04-05","2024-11-30","4223.78","Fiel"
27,"CLI00027","PF - Premium","Digital","SP","8","2023-02-08","2024-11-16","9433.40","Fiel"
3846,"CLI03846","PF - Varejo","Showroom","RJ","8","2023-03-20","2024-12-29","6508.55","Fiel"
25,"CLI00025","PJ - Frota Pequena","Digital","SP","8","2023-04-30","2024-11-03","12386.02","Fiel"
3900,"CLI03900","PJ - Frota Pequena","Fidelização","BA","8","2023-01-08","2024-11-20","8504.61","Fiel"
1810,"CLI01810","PF - Varejo","Showroom","SP","8","2023-02-28","2024-08-09","8587.74","Fiel"
53,"CLI00053","PF - Varejo","Indicação","BA","8","2023-02-19","2024-10-22","9995.36","Fiel"
543,"CLI00543","PF - Premium","Indicação","MG","8","2023-02-08","2024-08-13","16741.15","Fiel"
986,"CLI00986","PJ - Frota Pequena","Digital","SP","8","2023-01-25","2024-11-23","16255.77","Fiel"
1907,"CLI01907","PF - Premium","Indicação","SP","8","2023-01-21","2024-11-05","7500.02","Fiel"
1357,"CLI01357","PF - Varejo","Digital","SP","8","2023-01-17","2024-03-13","7567.09","Fiel"
1335,"CLI01335","PF - Varejo","Digital","BA","8","2023-04-30","2024-11-03","8512.71","Fiel"
3679,"CLI03679","PJ - Frota Pequena","Fidelização","RJ","8","2023-04-02","2024-08-14","8981.69","Fiel"
1589,"CLI01589","PJ - Frota Pequena","CRM Ativo","SC","8","2023-01-23","2024-12-04","10458.65","Fiel"
283,"CLI00283","PF - Premium","Recall","CE","8","2023-01-07","2024-12-05","9176.87","Fiel"
3608,"CLI03608","PJ - Frota Grande","Digital","RJ","8","2023-05-17","2024-07-10","3428.74","Fiel"
3897,"CLI03897","PF - Premium","Recall","BA","8","2023-02-12","2024-11-25","7627.63","Fiel"
2150,"CLI02150","PF - Varejo","Digital","DF","8","2023-03-19","2024-11-15","6506.27","Fiel"
3468,"CLI03468","PJ - Frota Grande","Recall","BA","8","2023-04-07","2024-12-05","6501.67","Fiel"
3731,"CLI03731","PJ - Frota Grande","Indicação","MG","8","2023-03-17","2024-09-16","3469.71","Fiel"
1839,"CLI01839","PF - Varejo","Recall","SP","8","2023-01-26","2024-12-21","7098.85","Fiel"
687,"CLI00687","PF - Premium","Indicação","SP","8","2023-04-29","2024-11-29","12478.15","Fiel"
3297,"CLI03297","PJ - Frota Pequena","Showroom","SP","8","2023-01-09","2024-12-11","8219.93","Fiel"
2198,"CLI02198","PF - Varejo","Showroom","BA","8","2023-03-28","2024-09-08","6140.80","Fiel"
2954,"CLI02954","PJ - Frota Pequena","Indicação","SP","8","2023-06-11","2024-10-15","5692.73","Fiel"
2374,"CLI02374","PJ - Frota Pequena","Digital","RJ","8","2023-02-20","2024-10-21","18765.63","Fiel"
21,"CLI00021","PF - Varejo","Digital","CE","8","2023-02-28","2024-12-11","13104.23","Fiel"
1608,"CLI01608","PF - Varejo","Fidelização","SP","8","2023-02-24","2024-12-30","11761.40","Fiel"
1016,"CLI01016","PF - Varejo","Indicação","PR","8","2023-04-27","2024-12-06","6214.75","Fiel"
2995,"CLI02995","PF - Varejo","Indicação","CE","8","2023-07-13","2024-12-26","5348.75","Fiel"
2920,"CLI02920","PF - Varejo","Indicação","RJ","8","2023-02-16","2024-11-26","19146.52","Fiel"
3984,"CLI03984","PF - Varejo","Digital","SP","8","2023-01-10","2024-08-21","11593.66","Fiel"
1333,"CLI01333","PF - Premium","Digital","RJ","8","2023-01-17","2024-10-13","4196.19","Fiel"
1048,"CLI01048","PF - Varejo","Recall","GO","8","2023-04-02","2024-12-08","4675.11","Fiel"
627,"CLI00627","PJ - Frota Grande","Showroom","GO","8","2023-07-28","2024-09-20","5220.48","Fiel"
470,"CLI00470","PF - Varejo","Showroom","SP","8","2023-03-06","2024-12-06","5581.16","Fiel"
2821,"CLI02821","PF - Varejo","CRM Ativo","SP","8","2023-03-22","2024-09-14","5904.16","Fiel"
1139,"CLI01139","PF - Varejo","CRM Ativo","RS","8","2023-06-27","2024-11-27","3724.36","Fiel"
2144,"CLI02144","PF - Varejo","Digital","RS","8","2023-03-09","2024-12-24","5969.61","Fiel"
2881,"CLI02881","PF - Varejo","Digital","PE","8","2023-04-21","2024-11-14","7477.48","Fiel"
1977,"CLI01977","PF - Varejo","Fidelização","CE","8","2023-01-23","2024-11-14","12313.84","Fiel"
2735,"CLI02735","PF - Premium","Digital","RJ","8","2023-03-15","2024-06-11","8141.47","Fiel"
2916,"CLI02916","PF - Varejo","Indicação","BA","8","2023-04-30","2024-12-10","12161.06","Fiel"
1462,"CLI01462","PF - Premium","Indicação","SP","8","2023-01-14","2024-10-05","13694.78","Fiel"
2685,"CLI02685","PF - Varejo","Showroom","SP","8","2023-01-10","2024-07-13","5938.03","Fiel"
2744,"CLI02744","PF - Premium","Digital","PR","8","2023-02-16","2024-09-20","8518.76","Fiel"
1631,"CLI01631","PF - Varejo","Recall","MG","8","2023-02-12","2024-12-11","2904.78","Fiel"
1745,"CLI01745","PF - Varejo","Fidelização","CE","8","2023-09-25","2024-07-22","10345.55","Fiel"
3032,"CLI03032","PF - Varejo","Digital","MG","8","2023-01-27","2024-11-22","11682.81","Fiel"
2501,"CLI02501","PF - Varejo","Fidelização","SC","8","2023-01-20","2024-11-04","12658.56","Fiel"
1616,"CLI01616","PF - Varejo","CRM Ativo","RJ","8","2023-01-09","2024-03-30","13364.65","Fiel"
84,"CLI00084","PF - Premium","CRM Ativo","PR","8","2023-04-02","2024-10-13","9067.67","Fiel"
2556,"CLI02556","PJ - Frota Grande","Indicação","CE","8","2023-09-02","2024-12-30","4605.71","Fiel"
3061,"CLI03061","PF - Varejo","Indicação","RJ","8","2023-01-24","2024-11-02","9313.36","Fiel"
1627,"CLI01627","PJ - Frota Pequena","Recall","SC","8","2023-09-06","2024-12-28","12608.93","Fiel"
1159,"CLI01159","PF - Premium","Indicação","BA","8","2023-05-31","2024-11-26","10857.60","Fiel"
3651,"CLI03651","PF - Premium","Digital","SP","8","2023-02-17","2024-09-07","15931.38","Fiel"
2819,"CLI02819","PF - Varejo","Showroom","SP","8","2023-02-13","2024-09-08","7320.12","Fiel"
1822,"CLI01822","PF - Varejo","CRM Ativo","MG","8","2023-05-19","2024-12-10","6445.55","Fiel"
3313,"CLI03313","PF - Premium","Showroom","RJ","8","2023-03-28","2024-06-29","4826.35","Fiel"
3052,"CLI03052","PF - Varejo","Recall","ES","8","2023-02-08","2024-12-26","9419.26","Fiel"
1983,"CLI01983","PF - Varejo","Fidelização","MG","8","2023-01-16","2024-08-10","12257.13","Fiel"
445,"CLI00445","PJ - Frota Pequena","Digital","RJ","8","2023-01-20","2024-10-21","6535.15","Fiel"
351,"CLI00351","PJ - Frota Grande","Indicação","PE","8","2023-01-19","2024-09-15","7690.93","Fiel"
964,"CLI00964","PJ - Frota Pequena","Recall","SP","8","2023-09-24","2024-11-19","9844.63","Fiel"
1981,"CLI01981","PF - Varejo","Recall","BA","8","2023-02-27","2024-11-27","7385.18","Fiel"
2330,"CLI02330","PF - Premium","Fidelização","CE","8","2023-02-14","2024-10-25","12085.21","Fiel"
2572,"CLI02572","PF - Varejo","CRM Ativo","RJ","8","2023-02-07","2024-10-09","7818.09","Fiel"
1186,"CLI01186","PJ - Frota Grande","Fidelização","SP","8","2023-04-12","2024-08-27","4515.28","Fiel"
3832,"CLI03832","PF - Premium","Indicação","MG","8","2023-05-13","2023-09-21","17665.75","Fiel"
2557,"CLI02557","PF - Varejo","Showroom","SP","8","2023-02-22","2024-12-31","8396.02","Fiel"
3990,"CLI03990","PJ - Frota Pequena","Fidelização","RS","8","2023-01-01","2024-07-12","10134.30","Fiel"
3843,"CLI03843","PJ - Frota Pequena","CRM Ativo","MG","8","2023-02-28","2024-12-13","5219.28","Fiel"
2472,"CLI02472","PF - Varejo","Digital","SC","8","2023-06-02","2024-11-02","8787.82","Fiel"
3673,"CLI03673","PF - Varejo","Digital","SP","8","2023-01-16","2024-08-30","10083.91","Fiel"
443,"CLI00443","PF - Premium","Indicação","SP","8","2023-08-09","2024-07-19","15391.01","Fiel"
3562,"CLI03562","PF - Varejo","Digital","MG","8","2023-09-18","2024-09-26","10518.36","Fiel"
2015,"CLI02015","PF - Varejo","Indicação","SP","8","2023-01-19","2024-11-29","17632.82","Fiel"
1841,"CLI01841","PF - Varejo","Indicação","ES","8","2023-02-07","2024-10-19","3951.37","Fiel"
1278,"CLI01278","PF - Varejo","CRM Ativo","RJ","8","2023-07-02","2024-11-25","9752.82","Fiel"
3293,"CLI03293","PF - Premium","Recall","DF","8","2023-02-22","2024-11-07","9222.86","Fiel"
2286,"CLI02286","PJ - Frota Pequena","Fidelização","SP","8","2023-04-26","2024-12-29","7378.65","Fiel"
3575,"CLI03575","PF - Varejo","Recall","PR","8","2023-01-29","2024-09-05","14517.37","Fiel"
2827,"CLI02827","PF - Varejo","Fidelização","SP","8","2023-02-08","2024-11-06","16332.45","Fiel"
1746,"CLI01746","PF - Varejo","Digital","SP","8","2023-02-22","2024-11-07","14254.62","Fiel"
2800,"CLI02800","PF - Varejo","Showroom","SC","8","2023-01-24","2024-12-24","11773.42","Fiel"
3596,"CLI03596","PF - Varejo","Indicação","PR","8","2023-02-10","2024-11-11","6139.96","Fiel"
3419,"CLI03419","PF - Varejo","Indicação","SP","8","2023-07-18","2024-12-30","16019.59","Fiel"
3395,"CLI03395","PF - Varejo","Digital","MG","8","2023-02-01","2024-09-27","16395.61","Fiel"
2386,"CLI02386","PF - Varejo","Recall","SC","8","2023-01-02","2024-06-16","13907.87","Fiel"
594,"CLI00594","PF - Varejo","Recall","RS","8","2023-07-06","2024-12-23","14400.82","Fiel"
3713,"CLI03713","PJ - Frota Pequena","Showroom","PR","8","2023-02-11","2024-09-27","7654.45","Fiel"
2975,"CLI02975","PF - Varejo","Indicação","ES","8","2023-02-10","2024-10-21","9308.23","Fiel"
2689,"CLI02689","PJ - Frota Pequena","Showroom","SP","8","2023-03-04","2024-12-10","10310.85","Fiel"
2416,"CLI02416","PF - Varejo","Digital","RJ","8","2023-01-08","2024-07-17","8561.46","Fiel"
2341,"CLI02341","PJ - Frota Pequena","Fidelização","SP","8","2023-05-01","2024-10-18","6794.39","Fiel"
2896,"CLI02896","PJ - Frota Pequena","Digital","SP","8","2023-01-20","2024-12-25","8293.39","Fiel"
1229,"CLI01229","PF - Premium","Showroom","GO","8","2023-03-27","2024-11-12","7756.07","Fiel"
765,"CLI00765","PJ - Frota Pequena","Indicação","PR","8","2023-02-07","2024-10-23","10293.00","Fiel"
3353,"CLI03353","PF - Premium","Digital","PE","8","2023-11-24","2024-11-11","11493.15","Fiel"
3759,"CLI03759","PF - Premium","Indicação","MG","8","2023-01-21","2024-09-10","14817.17","Fiel"
883,"CLI00883","PF - Premium","Indicação","RS","8","2023-01-03","2024-09-20","13332.63","Fiel"
468,"CLI00468","PF - Varejo","Recall","BA","8","2023-08-14","2024-10-11","10879.75","Fiel"
3776,"CLI03776","PF - Varejo","Recall","MG","8","2023-02-19","2024-08-30","8027.68","Fiel"
386,"CLI00386","PF - Varejo","Showroom","SP","8","2023-07-16","2024-11-01","7551.58","Fiel"
654,"CLI00654","PJ - Frota Pequena","CRM Ativo","BA","8","2023-01-20","2024-10-01","6329.34","Fiel"
727,"CLI00727","PF - Varejo","Recall","RS","8","2023-04-27","2024-11-14","13077.15","Fiel"
1189,"CLI01189","PF - Varejo","Indicação","SP","8","2023-03-05","2024-12-27","15192.63","Fiel"
